nom_standard,population,dep_nom,reg_nom,latitude_mairie,longitude_mairie
Sèvres,22303,Hauts-de-Seine,Île-de-France,48.825,2.213
Montereau-Fault-Yonne,22279,Seine-et-Marne,Île-de-France,48.385,2.956
Achères,22241,Yvelines,Île-de-France,48.961,2.07
Le Petit-Quevilly,22208,Seine-Maritime,Normandie,49.43,1.053
Arcueil,22200,Val-de-Marne,Île-de-France,48.806,2.337
Épernay,22174,Marne,Grand Est,49.044,3.959
Gujan-Mestras,22153,Gironde,Nouvelle-Aquitaine,44.636,-1.071
Dax,22109,Landes,Nouvelle-Aquitaine,43.709,-1.052
Millau,22044,Aveyron,Occitanie,44.101,3.078
Fontaine,22020,Isère,Auvergne-Rhône-Alpes,45.192,5.688
Chemillé-en-Anjou,21999,Maine-et-Loire,Pays de la Loire,47.215,-0.733
Longjumeau,21996,Essonne,Île-de-France,48.694,2.296
Neuilly-Plaisance,21941,Seine-Saint-Denis,Île-de-France,48.861,2.506
Hazebrouck,21912,Nord,Hauts-de-France,50.723,2.537
Nogent-sur-Oise,21907,Oise,Hauts-de-France,49.275,2.467
Voiron,21847,Isère,Auvergne-Rhône-Alpes,45.363,5.592
Fleury-les-Aubrais,21804,Loiret,Centre-Val de Loire,47.931,1.921
La Madeleine,21790,Nord,Hauts-de-France,50.654,3.074
Saint-Michel-sur-Orge,21776,Essonne,Île-de-France,48.63,2.303
Montmorency,21763,Val-d'Oise,Île-de-France,48.99,2.321
Montigny-lès-Metz,21718,Moselle,Grand Est,49.1,6.153
Sainte-Foy-lès-Lyon,21692,Rhône,Auvergne-Rhône-Alpes,45.736,4.8
Morsang-sur-Orge,21667,Essonne,Île-de-France,48.662,2.346
Mandelieu-la-Napoule,21640,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,43.543,6.932
Gardanne,21597,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,43.456,5.471
Le Robert,21553,Martinique,Martinique,14.678,-60.939
Lagny-sur-Marne,21461,Seine-et-Marne,Île-de-France,48.878,2.706
Allauch,21443,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,43.336,5.482
Bruay-la-Buissière,21424,Pas-de-Calais,Hauts-de-France,50.482,2.546
Givors,21379,Rhône,Auvergne-Rhône-Alpes,45.582,4.774
